SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,LaunchVehicleClass,Purpose
7718,COSMOS 723,1975,103.62,-1.0,UNK,64.72,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
7727,COSMOS 724,1975,102.92,-1.0,UNK,65.59,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
7734,GEOS 3,1975,101.47,-1.0,UNK,114.99,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
7736,COSMOS 726,1975,104.47,-1.0,UNK,83.0,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7768,COSMOS 729,1975,104.83,-1.0,UNK,82.96,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7780,MOLNIYA 1-29,1975,717.9,-1.0,UNK,63.81,Inactive,0,MEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7790,ANIK A3 (TELESAT 3),1975,1439.05,-1.0,-,8.21,Inactive,0,GSO,USA,Canada,Unknown,Unknown,Unknown
7815,INTELSAT 4-F1,1975,1450.65,-1.0,-,8.75,Inactive,0,GSO,USA,INTELSAT,Unknown,Unknown,Unknown
7816,OPS 6226 (DMSP 5C F7),1975,101.05,-1.0,-,98.63,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
7820,COSMOS 732,1975,114.58,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7822,COSMOS 733,1975,116.24,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7823,COSMOS 734,1975,115.03,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7824,COSMOS 735,1975,115.26,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7825,COSMOS 736,1975,115.49,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7826,COSMOS 737,1975,115.97,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7827,COSMOS 738,1975,115.73,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7828,COSMOS 739,1975,114.81,-1.0,UNK,74.02,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
7924,NIMBUS 6,1975,107.4,-1.0,-,100.01,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
7937,OPS 6381 (SSU 1),1975,113.54,-1.0,UNK,95.08,Inactive,0,LEO,USA,USA,Unknown,Unknown,Unknown
7963,OPS 4966,1975,-1.0,-1.0,UNK,-1.0,Inactive,0,Unknown,USA,USA,Unknown,Unknown,Unknown
8026,METEOR 2-1,1975,102.07,-1.0,UNK,81.28,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8072,COSMOS 755,1975,104.79,-1.0,UNK,82.9,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8132,SYMPHONIE 2,1975,1440.27,-1.0,UNK,4.65,Inactive,0,GSO,USA,France/Germany,Unknown,Unknown,Unknown
8195,MOLNIYA 2-14,1975,712.54,-1.0,UNK,64.36,Inactive,0,MEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8197,KIKU-1 (ETS-I),1975,105.91,-1.0,-,46.99,Inactive,0,LEO,Japan,Japan,Unknown,Unknown,Unknown
8285,COSMOS 761,1975,114.67,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8286,COSMOS 762,1975,115.12,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8287,COSMOS 763,1975,115.8,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8288,COSMOS 764,1975,116.03,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8289,COSMOS 765,1975,116.29,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8290,COSMOS 766,1975,114.9,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8291,COSMOS 767,1975,115.34,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8292,COSMOS 768,1975,115.56,-1.0,UNK,74.01,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8293,METEOR 1-22,1975,101.92,-1.0,UNK,81.26,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8325,COSMOS 770,1975,109.11,-1.0,UNK,82.96,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8330,INTELSAT 4A-F1,1975,1441.16,-1.0,-,8.37,Inactive,0,GSO,USA,INTELSAT,Unknown,Unknown,Unknown
8343,COSMOS 773,1975,100.29,-1.0,UNK,74.06,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8357,COSMOS 775,1975,1437.11,-1.0,UNK,2.97,Inactive,0,GSO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
8366,GOES 1 (SMS-C),1975,1436.74,-1.0,-,5.21,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
8419,COSMOS 778,1975,104.74,-1.0,UNK,82.97,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8458,COSMOS 783,1975,100.44,-1.0,UNK,74.06,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8473,COSMOS 785,1975,104.17,-1.0,UNK,65.08,Inactive,0,LEO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
8476,SATCOM 1,1975,1445.68,-1.0,UNK,8.49,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
8482,OPS 3165 (DSP 5),1975,1432.98,-1.0,UNK,2.9,Inactive,0,GSO,USA,USA,Unknown,Unknown,Unknown
8513,RADUGA 1,1975,1436.12,-1.0,-,3.41,Inactive,0,GSO,Kazakhstan,Russia/USSR,Unknown,Unknown,Unknown
8519,METEOR 1-23,1975,102.03,-1.0,UNK,81.25,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
8585,CTS,1976,1436.61,-1.0,UNK,4.54,Inactive,0,GSO,USA,Canada,Unknown,Unknown,Unknown
8591,COSMOS 789,1976,104.87,-1.0,UNK,82.98,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown
