SatCatId,ObjectName,LaunchYear,Status,StatusCode,OrbitClass,LaunchMass,UcsData,OrbitalPeriod,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2
25030,NAVSTAR 44 (USA 135),1997,Active,B,MEO,-1.0,0,764.18,USA,USA,Unknown,Unknown,Unknown,1 25030U 97067A   22109.90023435  .00000024  00000+0  00000+0 0  9993,2 25030  55.7057 224.5729 0018962 246.8049 216.3264  1.88437883178067
25071,ASTRA 1G,1997,Active,+,GEO,3379.0,1,1436.06,Kazakhstan,SES,Commercial,Communications,Proton,1 25071U 97076A   22111.10437771  .00000112  00000+0  00000+0 0  9993,2 25071   6.1160  68.7092 0003872 320.0608 237.3461  1.00272891 89319
25112,ORBCOMM FM08,1997,Active,+,LEO,45.0,1,100.03,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25112U 97084A   22110.71927651  .00000718  00000+0  27315-3 0  9999,2 25112  45.0152 110.8528 0008741 209.8364 150.1987 14.39568305274881
25113,ORBCOMM FM10,1997,Active,+,LEO,45.0,1,100.03,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25113U 97084B   22110.70548563  .00000653  00000+0  25250-3 0  9994,2 25113  45.0163 112.4670 0005330 191.5089 168.5639 14.39560727450032
25114,ORBCOMM FM11,1997,Active,+,LEO,45.0,1,100.04,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25114U 97084C   22110.73980626  .00000714  00000+0  27248-3 0  9995,2 25114  45.0148 111.8716 0006076 188.5993 171.4753 14.39482832275011
25115,ORBCOMM FM12,1997,Active,+,LEO,45.0,1,100.04,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25115U 97084D   22111.11833501  .00000751  00000+0  28398-3 0  9996,2 25115  45.0156 109.7439 0005176 197.1838 162.8836 14.39502653275103
25116,ORBCOMM FM09,1997,Active,+,LEO,45.0,1,100.04,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25116U 97084E   22110.70223169  .00000713  00000+0  27186-3 0  9996,2 25116  45.0159 112.2672 0005477 173.8967 186.1949 14.39491585275018
25117,ORBCOMM FM05,1997,Active,+,LEO,45.0,1,100.02,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25117U 97084F   22111.14755656  .00000552  00000+0  21993-3 0  9998,2 25117  45.0161 110.1912 0003963 227.7510 132.3003 14.39708819275102
25118,ORBCOMM FM06,1997,Active,+,LEO,45.0,1,100.03,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25118U 97084G   22111.14591941  .00000949  00000+0  34676-3 0  9996,2 25118  45.0154 109.8878 0003699 239.9803 207.9699 14.39547974275100
25119,ORBCOMM FM07,1997,Active,+,LEO,45.0,1,100.03,Eastern Range Airspace,ORBCOMM,Commercial,Communications,Pegasus,1 25119U 97084H   22110.68231615  .00000732  00000+0  27774-3 0  9995,2 25119  45.0148 112.4248 0003914 210.7992 149.2627 14.39535237275019
