Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Date of Launch,Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime (yrs.),Launch Vehicle,NORAD Number
ASELSAT,Turkey,Istanbul Technical  University,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2021-01-24 00:00:00,5.0,,,,Falcon 9,47441
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,2009-08-11 00:00:00,3760.0,,,15.0,Breeze M,35696
AsiaSat-6,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,2014-09-07 00:00:00,3700.0,,,15.0,Falcon 9,40141
AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,2011-11-25 00:00:00,3813.0,,,15.0,Proton M,37933
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,2014-08-05 00:00:00,4500.0,,8500,15.0,Falcon 9,40107
AsiaSat-9,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,2017-09-28 00:00:00,6140.0,,,15.0,Proton,42942
AsiaStar,USA,1Worldspace,Commercial,Communications,,GEO,,2000-03-21 00:00:00,2775.0,1530,5600,15.0,Ariane 5G,26107
ASNARO-1,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,2014-11-06 00:00:00,500.0,,,3.0,Dnepr,40298
ASNARO-2,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,2018-01-17 00:00:00,570.0,,,3.0,Epsilon,43152
ASTERISC,Japan,Chiba Institute of Technology,Civil,Technology Development,,LEO,Sun-Synchronous,2021-11-08 00:00:00,4.0,,,,H2A,49397
Astra 1G,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,1997-12-02 00:00:00,3379.0,3010,6600,15.0,Proton K,25071
Astra 1KR,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,2006-04-20 00:00:00,4332.0,,12000,15.0,Atlas 5,29055
