SatCatId,ObjectId,ObjectName,LaunchDate,LaunchYear,LaunchSite,LaunchSiteCountry,LaunchVehicle,Status,StatusCode,OrbitClassEstimated,OrbitalPeriod,DecayDate,OwnerCode,Owner,Inclination,UseType,Purpose,LaunchMass,DryMass,ExpLifetime,UcsData,LaunchVehicleClass
14725,1984-016A,RADUGA 14,1984-02-15,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,GSO,1436.04,-1.0,CIS,Russia/USSR,9.03,,,-1.0,,-1.0,0,
14728,1984-012C,JD 1,1984-02-05,1984,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,104.87,-1.0,US,USA,63.31,,,-1.0,,-1.0,0,
14729,1984-012D,JD 2,1984-02-05,1984,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,104.79,-1.0,US,USA,63.3,,,-1.0,,-1.0,0,
14759,1984-019A,COSMOS 1538,1984-02-21,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,100.39,-1.0,CIS,Russia/USSR,74.04,,,-1.0,,-1.0,0,
14780,1984-021A,LANDSAT 5,1984-03-01,1984,"Air Force Western Test Range, California, USA",USA,,Inactive,-,LEO,95.81,-1.0,US,USA,98.07,,,-1.0,,-1.0,0,
14781,1984-021B,UOSAT 2 (UO-11),1984-03-01,1984,"Air Force Western Test Range, California, USA",USA,,Active,P,LEO,96.65,-1.0,UK,UK,97.77,,,-1.0,,-1.0,0,
14783,1984-022A,COSMOS 1540,1984-03-02,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,UNK,GSO,1436.12,-1.0,CIS,Russia/USSR,9.82,,,-1.0,,-1.0,0,
14786,1984-023A,INTELSAT 508,1984-03-05,1984,"Europe's Spaceport, Kourou, French Guiana",French Guiana,,Inactive,-,GSO,1480.06,-1.0,ITSO,INTELSAT,13.85,,,-1.0,,-1.0,0,
14790,1984-024A,COSMOS 1541,1984-03-06,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,MEO,718.02,-1.0,CIS,Russia/USSR,71.76,,,-1.0,,-1.0,0,
14795,1984-012F,JD 3,1984-02-05,1984,"Air Force Western Test Range, California, USA",USA,,Inactive,UNK,LEO,103.84,-1.0,US,USA,63.3,,,-1.0,,-1.0,0,
14821,1984-028A,EKRAN 12,1984-03-16,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,GSO,1499.03,-1.0,CIS,Russia/USSR,10.77,,,-1.0,,-1.0,0,
14867,1984-031A,COSMOS 1546,1984-03-29,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,UNK,GSO,1436.14,-1.0,CIS,Russia/USSR,9.13,,,-1.0,,-1.0,0,
14884,1984-033A,COSMOS 1547,1984-04-04,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,MEO,718.19,-1.0,CIS,Russia/USSR,73.08,,,-1.0,,-1.0,0,
14899,1984-035A,STTW-T2,1984-04-08,1984,"Xichang Launch Facility, PRC",PRC,,Inactive,-,GSO,1435.26,-1.0,PRC,China,9.86,,,-1.0,,-1.0,0,
14930,1984-037A,OPS 7641 (DSP 11),1984-04-14,1984,"Air Force Eastern Test Range, Florida, USA",USA,,Inactive,UNK,GSO,1459.25,-1.0,US,USA,10.62,,,-1.0,,-1.0,0,
14940,1984-041A,GORIZONT 9,1984-04-22,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,GSO,1435.53,-1.0,CIS,Russia/USSR,9.2,,,-1.0,,-1.0,0,
14965,1984-043A,COSMOS 1550,1984-05-11,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,104.88,-1.0,CIS,Russia/USSR,82.98,,,-1.0,,-1.0,0,
14973,1984-046A,COSMOS 1553,1984-05-17,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,104.68,-1.0,CIS,Russia/USSR,82.94,,,-1.0,,-1.0,0,
14977,1984-047A,COSMOS 1554 [GLONASS],1984-05-19,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,675.74,-1.0,CIS,Russia/USSR,66.47,,,-1.0,,-1.0,0,
14978,1984-047B,COSMOS 1555 [GLONASS],1984-05-19,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,675.73,-1.0,CIS,Russia/USSR,66.48,,,-1.0,,-1.0,0,
14979,1984-047C,COSMOS 1556 [GLONASS],1984-05-19,1984,"Tyuratam Missile and Space Center, Kazakhstan(Also known as Baikonur Cosmodrome)",Kazakhstan,,Inactive,-,MEO,676.33,-1.0,CIS,Russia/USSR,66.51,,,-1.0,,-1.0,0,
14985,1984-049A,ZHONGXING-5,1984-05-23,1984,"Europe's Spaceport, Kourou, French Guiana",French Guiana,,Inactive,-,GSO,1440.34,-1.0,PRC,China,14.45,,,-1.0,,-1.0,0,
14998,1984-052A,COSMOS 1559,1984-05-28,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.76,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
14999,1984-052B,COSMOS 1560,1984-05-28,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.56,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
15000,1984-052C,COSMOS 1561,1984-05-28,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.39,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
15001,1984-052D,COSMOS 1562,1984-05-28,1984,"Plesetsk Missile and Space Complex, Russia",Russia,,Inactive,UNK,LEO,115.2,-1.0,CIS,Russia/USSR,74.01,,,-1.0,,-1.0,0,
