SatCatId,ObjectName,LaunchYear,OrbitalPeriod,LaunchMass,StatusCode,Inclination,Status,UcsData,OrbitClassEstimated,LaunchSiteCountry,Owner,UseType,Purpose,LaunchVehicleClass,TLE1,TLE2,MeanMotion,Eccentricity,OrbitClass
16527,COSMOS 1729,1986,718.08,-1.0,UNK,70.72,Inactive,0,MEO,Russia,Russia/USSR,Unknown,Unknown,Molniya,1 16527U 86011A   24051.51834517  .00000128  00000+0  00000+0 0  9992,2 16527  70.7221 217.1008 4176073  64.7339 338.4022  2.00532119278755,2.00532119,0.4176073,MEO
24720,HALCA (MUSES-B),1997,375.21,-1.0,-,31.17,Inactive,0,MEO,Japan,Japan,Unknown,Unknown,Unknown,1 24720U 97005A   24052.36766934  .00000047  00000+0  53245-3 0  9995,2 24720  31.1645  98.4918 5991353 100.5268 328.3968  3.83785890377099,3.8378589,0.5991353,MEO
24725,COSMOS 2337,1997,114.22,-1.0,-,82.6,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 24725U 97006A   24054.57265381  .00000050  00000+0  22836-3 0  9992,2 24725  82.6046  95.3295 0008334 227.2872 132.7517 12.60694048243420,12.60694048,0.0008334,LEO
24726,COSMOS 2338,1997,114.16,-1.0,-,82.6,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 24726U 97006B   24054.52057248  .00000036  00000+0  14498-3 0  9998,2 24726  82.5951  80.1187 0004900 189.6590 170.4407 12.61363970243986,12.6136397,0.00049,LEO
8343,COSMOS 773,1975,100.32,-1.0,UNK,74.05,Inactive,0,LEO,Russia,Russia/USSR,Military,Unknown,Kosmos,1 08343U 75094A   24054.57139957  .00000236  00000+0  91325-4 0  9998,2 08343  74.0536 104.0288 0010296 134.6924 225.5069 14.35375593531154,14.35375593,0.0010296,LEO
24727,COSMOS 2339,1997,114.07,-1.0,-,82.6,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Unknown,1 24727U 97006C   24054.54992080  .00000046  00000+0  19896-3 0  9991,2 24727  82.5997  72.4649 0001598 109.0282  60.5961 12.62350123245004,12.62350123,0.0001598,LEO
24728,GONETS-D1 4,1997,113.93,-1.0,-,82.6,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Soyuz,1 24728U 97006D   24054.52107968  .00000038  00000+0  14813-3 0  9998,2 24728  82.6012  54.9545 0006771 305.1215  54.9242 12.63888469246502,12.63888469,0.0006771,LEO
24729,GONETS-D1 5,1997,114.02,-1.0,-,82.59,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Soyuz,1 24729U 97006E   24054.53835142  .00000036  00000+0  14092-3 0  9999,2 24729  82.5946  60.7193 0004457  23.4053  99.5716 12.62952559245838,12.62952559,0.0004457,LEO
24730,GONETS-D1 6,1997,114.06,-1.0,-,82.6,Inactive,0,LEO,Russia,Russia/USSR,Unknown,Unknown,Soyuz,1 24730U 97006F   24054.55779212  .00000046  00000+0  19891-3 0  9991,2 24730  82.6026  74.0887 0003614  78.3084 281.8413 12.62461442245099,12.62461442,0.0003614,LEO
24732,INTELSAT 26 (IS-26),1997,1455.92,-1.0,-,10.98,Inactive,0,GSO,USA,INTELSAT,Unknown,Unknown,Unknown,1 24732U 97007A   24054.39258653 -.00000166  00000+0  00000+0 0  9999,2 24732  10.9831  35.2746 0011511 270.3780 287.5535  0.98906972 98692,0.98906972,0.0011511,GSO
